code,prefix,id,quantity
POL3,POL,3,1
POL4,POL,4,1
POL5,POL,5,1
POL6,POL,6,1
POL7,POL,7,1
POL8,POL,8,1
POL9,POL,9,1
POL10,POL,10,1
POL11,POL,11,1
POL12,POL,12,1
POL13,POL,13,1
POL14,POL,14,1
POL15,POL,15,1
POL16,POL,16,1
POL17,POL,17,1
POL18,POL,18,1
POL19,POL,19,1
POL20,POL,20,1
FRA1,FRA,1,1
FRA2,FRA,2,1
FRA3,FRA,3,1
FRA4,FRA,4,1
FRA5,FRA,5,1
FRA6,FRA,6,1
FRA7,FRA,7,1
FRA8,FRA,8,1
FRA9,FRA,9,1
FRA10,FRA,10,1
FRA11,FRA,11,1
FRA12,FRA,12,1
FRA13,FRA,13,1
FRA14,FRA,14,1
FRA15,FRA,15,1
FRA16,FRA,16,1
FRA17,FRA,17,1
FRA18,FRA,18,1
FRA19,FRA,19,1
FRA20,FRA,20,1
AUS1,AUS,1,1
AUS2,AUS,2,1
AUS3,AUS,3,1
AUS4,AUS,4,1
AUS5,AUS,5,1
AUS6,AUS,6,1
AUS7,AUS,7,1
AUS8,AUS,8,1
AUS9,AUS,9,1
AUS10,AUS,10,1
AUS11,AUS,11,1
AUS12,AUS,12,1
AUS13,AUS,13,1
AUS14,AUS,14,1
AUS15,AUS,15,1
AUS16,AUS,16,1
AUS17,AUS,17,1
AUS18,AUS,18,1
AUS19,AUS,19,1
AUS20,AUS,20,1
DEN1,DEN,1,1
DEN2,DEN,2,1
DEN3,DEN,3,1
DEN4,DEN,4,1
DEN5,DEN,5,1
DEN6,DEN,6,1
DEN7,DEN,7,1
DEN8,DEN,8,1
DEN9,DEN,9,1
DEN10,DEN,10,1
DEN11,DEN,11,1
DEN12,DEN,12,1
DEN13,DEN,13,1
DEN14,DEN,14,1
DEN15,DEN,15,1
DEN16,DEN,16,1
DEN17,DEN,17,1
DEN18,DEN,18,1
DEN19,DEN,19,1
DEN20,DEN,20,1
TUN1,TUN,1,1
TUN2,TUN,2,1
TUN3,TUN,3,1
TUN4,TUN,4,1
TUN5,TUN,5,1
TUN6,TUN,6,1
TUN7,TUN,7,1
TUN8,TUN,8,1
TUN9,TUN,9,1
TUN10,TUN,10,1
TUN11,TUN,11,1
TUN12,TUN,12,1
TUN13,TUN,13,1
TUN14,TUN,14,1
TUN15,TUN,15,1
TUN16,TUN,16,1
TUN17,TUN,17,1
TUN18,TUN,18,1
TUN19,TUN,19,1
TUN20,TUN,20,1
ESP1,ESP,1,1
ESP2,ESP,2,1
ESP3,ESP,3,1
ESP4,ESP,4,1
ESP5,ESP,5,1
ESP6,ESP,6,1
ESP7,ESP,7,1
ESP8,ESP,8,1
ESP9,ESP,9,1
ESP10,ESP,10,1
ESP11,ESP,11,1
ESP12,ESP,12,1
ESP13,ESP,13,1
ESP14,ESP,14,1
ESP15,ESP,15,1
ESP16,ESP,16,1
ESP17,ESP,17,1
ESP18,ESP,18,1
ESP19,ESP,19,1
ESP20,ESP,20,1
CRC1,CRC,1,1
CRC2,CRC,2,1
CRC3,CRC,3,1
CRC4,CRC,4,1
CRC5,CRC,5,1
CRC6,CRC,6,1
CRC7,CRC,7,1
CRC8,CRC,8,1
CRC9,CRC,9,1
CRC10,CRC,10,1
CRC11,CRC,11,1
CRC12,CRC,12,1
CRC13,CRC,13,1
CRC14,CRC,14,1
CRC15,CRC,15,1
CRC16,CRC,16,1
CRC17,CRC,17,1
CRC18,CRC,18,1
CRC19,CRC,19,1
CRC20,CRC,20,1
GER1,GER,1,1
GER2,GER,2,1
GER3,GER,3,1
GER4,GER,4,1
GER5,GER,5,1
GER6,GER,6,1
GER7,GER,7,1
GER8,GER,8,1
GER9,GER,9,1
GER10,GER,10,1
GER11,GER,11,1
GER12,GER,12,1
GER13,GER,13,1
GER14,GER,14,1
GER15,GER,15,1
GER16,GER,16,1
GER17,GER,17,1
GER18,GER,18,1
GER19,GER,19,1
GER20,GER,20,1
JPN1,JPN,1,1
JPN2,JPN,2,1
JPN3,JPN,3,1
JPN4,JPN,4,1
JPN5,JPN,5,1
JPN6,JPN,6,1
JPN7,JPN,7,1
JPN8,JPN,8,1
JPN9,JPN,9,1
JPN10,JPN,10,1
JPN11,JPN,11,1
JPN12,JPN,12,1
JPN13,JPN,13,1
JPN14,JPN,14,1
JPN15,JPN,15,1
JPN16,JPN,16,1
JPN17,JPN,17,1
JPN18,JPN,18,1
JPN19,JPN,19,1
JPN20,JPN,20,1
BEL1,BEL,1,1
BEL2,BEL,2,1
BEL3,BEL,3,1
BEL4,BEL,4,1
BEL5,BEL,5,1
BEL6,BEL,6,1
BEL7,BEL,7,1
BEL8,BEL,8,1
BEL9,BEL,9,1
BEL10,BEL,10,1
BEL11,BEL,11,1
BEL12,BEL,12,1
BEL13,BEL,13,1
BEL14,BEL,14,1
BEL15,BEL,15,1
BEL16,BEL,16,1
BEL17,BEL,17,1
BEL18,BEL,18,1
BEL19,BEL,19,1
BEL20,BEL,20,1
CAN1,CAN,1,1
CAN2,CAN,2,1
CAN3,CAN,3,1
CAN4,CAN,4,1
CAN5,CAN,5,1
CAN6,CAN,6,1
CAN7,CAN,7,1
CAN8,CAN,8,1
CAN9,CAN,9,1
CAN10,CAN,10,1
CAN11,CAN,11,1
CAN12,CAN,12,1
CAN13,CAN,13,1
CAN14,CAN,14,1
CAN15,CAN,15,1
CAN16,CAN,16,1
CAN17,CAN,17,1
CAN18,CAN,18,1
CAN19,CAN,19,1
CAN20,CAN,20,1
MAR1,MAR,1,1
MAR2,MAR,2,1
MAR3,MAR,3,1
MAR4,MAR,4,1
MAR5,MAR,5,1
MAR6,MAR,6,1
MAR7,MAR,7,1
MAR8,MAR,8,1
MAR9,MAR,9,1
MAR10,MAR,10,1
MAR11,MAR,11,1
MAR12,MAR,12,1
MAR13,MAR,13,1
MAR14,MAR,14,1
MAR15,MAR,15,1
MAR16,MAR,16,1
MAR17,MAR,17,1
MAR18,MAR,18,1
MAR19,MAR,19,1
MAR20,MAR,20,1
CRO1,CRO,1,1
CRO2,CRO,2,1
CRO3,CRO,3,1
CRO4,CRO,4,1
CRO5,CRO,5,1
CRO6,CRO,6,1
CRO7,CRO,7,1
CRO8,CRO,8,1
CRO9,CRO,9,1
CRO10,CRO,10,1
CRO11,CRO,11,1
CRO12,CRO,12,1
CRO13,CRO,13,1
CRO14,CRO,14,1
CRO15,CRO,15,1
CRO16,CRO,16,1
CRO17,CRO,17,1
CRO18,CRO,18,1
CRO19,CRO,19,1
CRO20,CRO,20,1
BRA1,BRA,1,1
BRA2,BRA,2,1
BRA3,BRA,3,1
BRA4,BRA,4,1
BRA5,BRA,5,1
BRA6,BRA,6,1
BRA7,BRA,7,1
BRA8,BRA,8,1
BRA9,BRA,9,1
BRA10,BRA,10,1
BRA11,BRA,11,1
BRA12,BRA,12,1
BRA13,BRA,13,1
BRA14,BRA,14,1
BRA15,BRA,15,1
BRA16,BRA,16,1
BRA17,BRA,17,1
BRA18,BRA,18,1
BRA19,BRA,19,1
BRA20,BRA,20,1
SRB1,SRB,1,1
SRB2,SRB,2,1
SRB3,SRB,3,1
SRB4,SRB,4,1
SRB5,SRB,5,1
SRB6,SRB,6,1
SRB7,SRB,7,1
SRB8,SRB,8,1
SRB9,SRB,9,1
SRB10,SRB,10,1
SRB11,SRB,11,1
SRB12,SRB,12,1
SRB13,SRB,13,1
SRB14,SRB,14,1
SRB15,SRB,15,1
SRB16,SRB,16,1
SRB17,SRB,17,1
SRB18,SRB,18,1
SRB19,SRB,19,1
SRB20,SRB,20,1
SUI1,SUI,1,1
SUI2,SUI,2,1
SUI3,SUI,3,1
SUI4,SUI,4,1
SUI5,SUI,5,1
SUI6,SUI,6,1
SUI7,SUI,7,1
SUI8,SUI,8,1
SUI9,SUI,9,1
SUI10,SUI,10,1
SUI11,SUI,11,1
SUI12,SUI,12,1
SUI13,SUI,13,1
SUI14,SUI,14,1
SUI15,SUI,15,1
SUI16,SUI,16,1
SUI17,SUI,17,1
SUI18,SUI,18,1
SUI19,SUI,19,1
SUI20,SUI,20,1
CMR1,CMR,1,1
CMR2,CMR,2,1
CMR3,CMR,3,1
CMR4,CMR,4,1
CMR5,CMR,5,1
CMR6,CMR,6,1
CMR7,CMR,7,1
CMR8,CMR,8,1
CMR9,CMR,9,1
CMR10,CMR,10,1
CMR11,CMR,11,1
CMR12,CMR,12,1
CMR13,CMR,13,1
CMR14,CMR,14,1
CMR15,CMR,15,1
CMR16,CMR,16,1
CMR17,CMR,17,1
CMR18,CMR,18,1
CMR19,CMR,19,1
CMR20,CMR,20,1
POR1,POR,1,1
POR2,POR,2,1
POR3,POR,3,1
POR4,POR,4,1
POR5,POR,5,1
